Title,URL
"Football in Albania - Wikipedia","https://en.wikipedia.org/wiki/Football_in_Albania"
"Kategoria Superiore - Wikipedia","https://en.wikipedia.org/wiki/Kategoria_Superiore"
"Albania national football team - Wikipedia","https://en.wikipedia.org/wiki/Albania_national_football_team"
"Football in Bosnia and Herzegovina - Wikipedia","https://en.wikipedia.org/wiki/Football_in_Bosnia_and_Herzegovina"
"Bosnia and Herzegovina national football team - Wikipedia","https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina_national_football_team"
"Premier League of Bosnia and Herzegovina - Wikipedia","https://en.wikipedia.org/wiki/Premier_League_of_Bosnia_and_Herzegovina"
"Football in Bulgaria - Wikipedia","https://en.wikipedia.org/wiki/Football_in_Bulgaria"
"Bulgaria national football team - Wikipedia","https://en.wikipedia.org/wiki/Bulgaria_national_football_team"
"First Professional Football League (Bulgaria) - Wikipedia","https://en.wikipedia.org/wiki/First_Professional_Football_League_(Bulgaria)"
"Football in Greece - Wikipedia","https://en.wikipedia.org/wiki/Football_in_Greece"
"Super League Greece - Wikipedia","https://en.wikipedia.org/wiki/Super_League_Greece"
"Greece national football team - Wikipedia","https://en.wikipedia.org/wiki/Greece_national_football_team"
"Football in Kosovo - Wikipedia","https://en.wikipedia.org/wiki/Football_in_Kosovo"
"Football Superleague of Kosovo - Wikipedia","https://en.wikipedia.org/wiki/Football_Superleague_of_Kosovo"
"Kosovo national football team - Wikipedia","https://en.wikipedia.org/wiki/Kosovo_national_football_team"
"Football in Montenegro - Wikipedia","https://en.wikipedia.org/wiki/Football_in_Montenegro"
"Montenegro national football team - Wikipedia","https://en.wikipedia.org/wiki/Montenegro_national_football_team"
"Montenegrin First League - Wikipedia","https://en.wikipedia.org/wiki/Montenegrin_First_League"
"Football in North Macedonia - Wikipedia","https://en.wikipedia.org/wiki/Football_in_North_Macedonia"
"Macedonian First Football League - Wikipedia","https://en.wikipedia.org/wiki/Macedonian_First_Football_League"
"North Macedonia national football team - Wikipedia","https://en.wikipedia.org/wiki/North_Macedonia_national_football_team"
"Football in Romania - Wikipedia","https://en.wikipedia.org/wiki/Football_in_Romania"
"Romania national football team - Wikipedia","https://en.wikipedia.org/wiki/Romania_national_football_team"
"Liga I - Wikipedia","https://en.wikipedia.org/wiki/Liga_I"
"Football in Serbia - Wikipedia","https://en.wikipedia.org/wiki/Football_in_Serbia"
"Serbian SuperLiga - Wikipedia","https://en.wikipedia.org/wiki/Serbian_SuperLiga"
"Serbia national football team - Wikipedia","https://en.wikipedia.org/wiki/Serbia_national_football_team"
"Football in Slovenia - Wikipedia","https://en.wikipedia.org/wiki/Football_in_Slovenia"
"Slovenian PrvaLiga - Wikipedia","https://en.wikipedia.org/wiki/Slovenian_PrvaLiga"
"Slovenia national football team - Wikipedia","https://en.wikipedia.org/wiki/Slovenia_national_football_team"
"Football in Turkey - Wikipedia","https://en.wikipedia.org/wiki/Football_in_Turkey"
"Süper Lig - Wikipedia","https://en.wikipedia.org/wiki/S%C3%BCper_Lig"
"Turkey national football team - Wikipedia","https://en.wikipedia.org/wiki/Turkey_national_football_team"
